Sample UID,Observation UID,Sample Site UID,Dummy Sample,Circulation,Category Group Name,Project Number,Project Title,Project Region,Project Group Name,Campaign Name,Sample Site Name,Latitude,Longitude,Altitude,WMO Code,Country ISO Code,Sample Site Type Name,Sample Name,Sample Date,Sample Date Accuracy,Lith Adj Code,Lith Adj Name,Lith Noun Code,Lith Noun Name,Period From,Period To,Min Depth,Max Depth,Sampling Method Code,Sampling Method Name,Sample Media Type Code,Sample Media Type Name,Sample Info,Measurand Symbol,Observation Method Code,Observation Method Name,Measurand Prefix,Measurand Amount,Measurand Uncertainty,Measurand Unit,Observation Date,Observation Date Accuracy,Field Preparation Method Name,Data Provider Code,Data Provider Name,Quality Flag Code,Quality Flag Name
99fe896a-6be4-4e52-9e23-3b90373abf8e,b298a5b3-d727-44d7-b466-f055ae99778c,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197303,1973-03-15T00:00:00.0000000+01:00,Month,,,XXXX,Lithology Undefined,1973-03-01T00:00:00.0000000+01:00,1973-03-31T00:00:00.0000000+02:00,,,,,WPR,Rain,,Precipitation,,,,27,,mm,,None,,42,Field measurement,,
99fe896a-6be4-4e52-9e23-3b90373abf8e,fc666bf6-5daf-475d-86b5-0de6aab5e7c2,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197303,1973-03-15T00:00:00.0000000+01:00,Month,,,XXXX,Lithology Undefined,1973-03-01T00:00:00.0000000+01:00,1973-03-31T00:00:00.0000000+02:00,,,,,WPR,Rain,,TempAir,,,,5.1,,°C,,None,,42,Field measurement,,
e5bb54cb-1c48-4908-9956-5bdaac5bf944,64caa44d-dd47-44ac-ade2-2b9c2c610272,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197304,1973-04-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,1973-04-01T00:00:00.0000000+02:00,1973-04-30T00:00:00.0000000+02:00,,,,,WPR,Rain,,H2,,,,-57,,‰ vs VSMOW-SLAP,,None,,185,Umweltforschungszentrum Leipzig-Halle GmbH,,
e5bb54cb-1c48-4908-9956-5bdaac5bf944,90641aab-6188-4fa1-adcc-0d9c53dced56,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197304,1973-04-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,1973-04-01T00:00:00.0000000+02:00,1973-04-30T00:00:00.0000000+02:00,,,,,WPR,Rain,,Vp,,,,6.8,,hPa,,None,,42,Field measurement,,
e5bb54cb-1c48-4908-9956-5bdaac5bf944,d61b1e3c-bd80-4756-a25a-182587e55cf1,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197304,1973-04-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,1973-04-01T00:00:00.0000000+02:00,1973-04-30T00:00:00.0000000+02:00,,,,,WPR,Rain,,Precipitation,,,,44,,mm,,None,,42,Field measurement,,
e5bb54cb-1c48-4908-9956-5bdaac5bf944,7de203cc-3bda-404e-8272-f314a1e889ce,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197304,1973-04-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,1973-04-01T00:00:00.0000000+02:00,1973-04-30T00:00:00.0000000+02:00,,,,,WPR,Rain,,TempAir,,,,5.9,,°C,,None,,42,Field measurement,,
bb7f665b-94f9-4f1b-9562-830e5604f10e,bf02dbf8-2fc6-46b3-bc69-6648d13f0958,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197305,1973-05-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,1973-05-01T00:00:00.0000000+02:00,1973-05-31T00:00:00.0000000+02:00,,,,,WPR,Rain,,H2,,,,-44,,‰ vs VSMOW-SLAP,,None,,185,Umweltforschungszentrum Leipzig-Halle GmbH,,
bb7f665b-94f9-4f1b-9562-830e5604f10e,dfe0dfe8-77b2-43c8-8012-901b835974fd,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197305,1973-05-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,1973-05-01T00:00:00.0000000+02:00,1973-05-31T00:00:00.0000000+02:00,,,,,WPR,Rain,,Vp,,,,10.4,,hPa,,None,,42,Field measurement,,
bb7f665b-94f9-4f1b-9562-830e5604f10e,3885c3df-528f-4208-b940-f92f7e87f45d,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197305,1973-05-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,1973-05-01T00:00:00.0000000+02:00,1973-05-31T00:00:00.0000000+02:00,,,,,WPR,Rain,,Precipitation,,,,39,,mm,,None,,42,Field measurement,,
bb7f665b-94f9-4f1b-9562-830e5604f10e,e85adfcf-ce3f-4463-839b-eba1ce445f97,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197305,1973-05-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,1973-05-01T00:00:00.0000000+02:00,1973-05-31T00:00:00.0000000+02:00,,,,,WPR,Rain,,TempAir,,,,13.5,,°C,,None,,42,Field measurement,,
