StationID,Name,X_WGS84,Y_WGS84,Lithology,X_UTM46N,Y_UTM46N
400005,BWDB6,89.13333333,25.04166667,1,109756.0981,2775140.834
400006,BWDB7,89.53333333,24.6875,1,149159.7268,2734782.458
400007,BWDB8,89.04277778,24.81388889,1,99870.96983,2750145.304
400008,BWDB9,89.73333333,24.53333333,1,169009.1611,2717196.741
400009,BWDB10,89.41388889,24.74166667,1,137218.6594,2741099.129
400083,BWDB84,89.09,23.96222222,1,101985.2602,2655565.418
400087,BWDB88,89.10916667,23.9125,3,103786.1936,2649997.86
400091,BWDB92,88.93888889,24.10611111,3,87047.43034,2671958.698
400097,BWDB98,89.80472222,24.77277778,3,176865.5604,2743566.266
400115,BWDB116,89.04,24.08888889,1,97286.02337,2669754.133
400116,BWDB117,89.41333333,23.93055556,1,134839.679,2651178.287
400117,BWDB118,89.56666667,24.81527778,2,152891.6598,2748862.245
400118,BWDB119,89.5125,24.55416667,2,146674.3152,2720054.959
400119,BWDB120,89.6,24.68055556,3,155892.7997,2733843.456
400120,BWDB121,89.69666667,24.45555556,2,165084.9497,2708664.247
400121,BWDB122,89.53555556,24.50972222,2,148888.1583,2715069.05
400122,BWDB123,89.67222222,24.675,2,163192.7656,2733048.106
400123,BWDB124,89.37916667,24.42222222,1,132770.7028,2705775.609
400124,BWDB125,89.29833333,24.23194444,2,124002.7476,2684896.141
400125,BWDB126,89.71166667,24.02222222,1,165473.9169,2660597.662
400126,BWDB127,89.24166667,24.1125,3,117885.1137,2671806.791
400127,BWDB128,89.35833333,24.08111111,2,129667.2338,2668013.185
400128,BWDB129,89.565,24.05833333,2,150639.4428,2664957.595
400131,BWDB132,88.61666667,24.45,2,55443.43305,2711096.907
400132,BWDB133,88.17777778,24.46777778,1,10933.9229,2714555.378
400133,BWDB134,88.27,24.59444444,3,20784.12318,2728287.503
400134,BWDB135,88.33611111,24.825,1,28364.40617,2753641.666
400135,BWDB136,88.75916667,25.045,1,71962.27784,2776644.685
400136,BWDB137,88.57944444,24.8,1,52914.21372,2750046.279
400137,BWDB138,88.53166667,25.02222222,1,48887.26166,2774858.734
400138,BWDB139,88.59833333,25.125,1,55998.36271,2786039.881
400139,BWDB140,89.16666667,24.81944444,2,112427.5383,2750403.021
400140,BWDB141,88.16666667,24.68611111,3,10657.48708,2738825.932
400141,BWDB142,88.56666667,24.83055556,2,51730.52369,2753478.201
