Sample UID,Observation UID,Sample Site UID,Dummy Sample,Circulation,Category Group Name,Project Number,Project Title,Project Region,Project Group Name,Campaign Name,Sample Site Name,Latitude,Longitude,Altitude,WMO Code,Country ISO Code,Sample Site Type Name,Sample Name,Sample Date,Sample Date Accuracy,Lith Adj Code,Lith Adj Name,Lith Noun Code,Lith Noun Name,Period From,Period To,Min Depth,Max Depth,Sampling Method Code,Sampling Method Name,Sample Media Type Code,Sample Media Type Name,Sample Info,Measurand Symbol,Observation Method Code,Observation Method Name,Measurand Prefix,Measurand Amount,Measurand Uncertainty,Measurand Unit,Observation Date,Observation Date Accuracy,Field Preparation Method Name,Data Provider Code,Data Provider Name,Quality Flag Code,Quality Flag Name
ab32760d-2034-4555-81c1-bac1d5376124,4078152b-d24a-4f4b-8d16-44b67b1e599d,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,198903,1989-03-15T00:00:00.0000000+01:00,Month,,,XXXX,Lithology Undefined,1989-03-01T00:00:00.0000000+01:00,1989-03-31T00:00:00.0000000+02:00,,,,,WPX,Precipitation - type unavailable,,TempAir,,,,7.7,,°C,,None,,42,Field measurement,,
01c88a4e-d3bc-4f74-a691-fbc7cfac9d4a,f27bef34-14b0-4bfc-879d-29010dc66085,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,198904,1989-04-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,1989-04-01T00:00:00.0000000+02:00,1989-04-30T00:00:00.0000000+02:00,,,,,WPX,Precipitation - type unavailable,,O18,,,,-9.7,,‰ vs VSMOW-SLAP,,None,,185,Umweltforschungszentrum Leipzig-Halle GmbH,,
01c88a4e-d3bc-4f74-a691-fbc7cfac9d4a,1dd4b811-7357-443d-95db-76df81669377,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,198904,1989-04-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,1989-04-01T00:00:00.0000000+02:00,1989-04-30T00:00:00.0000000+02:00,,,,,WPX,Precipitation - type unavailable,,H2,,,,-71.3,,‰ vs VSMOW-SLAP,,None,,185,Umweltforschungszentrum Leipzig-Halle GmbH,,
01c88a4e-d3bc-4f74-a691-fbc7cfac9d4a,551b99ba-fc79-47a5-aee0-6457ac5be397,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,198904,1989-04-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,1989-04-01T00:00:00.0000000+02:00,1989-04-30T00:00:00.0000000+02:00,,,,,WPX,Precipitation - type unavailable,,H3,,,,24.5,,TU,,None,,185,Umweltforschungszentrum Leipzig-Halle GmbH,,
01c88a4e-d3bc-4f74-a691-fbc7cfac9d4a,b20fb4c9-d403-4225-b32d-c3d0c20d0152,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,198904,1989-04-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,1989-04-01T00:00:00.0000000+02:00,1989-04-30T00:00:00.0000000+02:00,,,,,WPX,Precipitation - type unavailable,,Vp,,,,7.9,,hPa,,None,,42,Field measurement,,
01c88a4e-d3bc-4f74-a691-fbc7cfac9d4a,ab41173b-3fc6-4e55-a4f7-b7b09454580e,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,198904,1989-04-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,1989-04-01T00:00:00.0000000+02:00,1989-04-30T00:00:00.0000000+02:00,,,,,WPX,Precipitation - type unavailable,,Precipitation,,,,52,,mm,,None,,42,Field measurement,,
01c88a4e-d3bc-4f74-a691-fbc7cfac9d4a,e192fd9d-d80d-420d-9cde-6008d7069102,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,198904,1989-04-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,1989-04-01T00:00:00.0000000+02:00,1989-04-30T00:00:00.0000000+02:00,,,,,WPX,Precipitation - type unavailable,,TempAir,,,,8.1,,°C,,None,,42,Field measurement,,
90f1ed5b-21d6-4074-9bf9-fc9dd703c67c,04c17496-935c-45a1-8baf-59826e4f1012,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,198905,1989-05-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,1989-05-01T00:00:00.0000000+02:00,1989-05-31T00:00:00.0000000+02:00,,,,,WPX,Precipitation - type unavailable,,O18,,,,-4.6,,‰ vs VSMOW-SLAP,,None,,185,Umweltforschungszentrum Leipzig-Halle GmbH,,
90f1ed5b-21d6-4074-9bf9-fc9dd703c67c,3060e692-984b-49a8-92bb-8e7a21676c37,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,198905,1989-05-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,1989-05-01T00:00:00.0000000+02:00,1989-05-31T00:00:00.0000000+02:00,,,,,WPX,Precipitation - type unavailable,,H2,,,,-34.9,,‰ vs VSMOW-SLAP,,None,,185,Umweltforschungszentrum Leipzig-Halle GmbH,,
90f1ed5b-21d6-4074-9bf9-fc9dd703c67c,0e7ddb4c-04a5-4466-885f-59e9821cb421,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,198905,1989-05-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,1989-05-01T00:00:00.0000000+02:00,1989-05-31T00:00:00.0000000+02:00,,,,,WPX,Precipitation - type unavailable,,H3,,,,32.5,,TU,,None,,185,Umweltforschungszentrum Leipzig-Halle GmbH,,
